symbol,price,rs_raw,pct_off_high,adv50,vol_pct_chg,price_day_chg,ad_raw,history_days,rs_rating,ad_rating,name,sector,industry,market_cap,last_sale,country,ipo_year,industry_rank,group_grade,eps_q0_growth,eps_q1_growth,eps_annual_growth,eps_stability,sales_growth,eps_source,eps_rating,eps_rs_sum
MT,66.87999725341797,7.230911198395413,-6.65736799843345,1969451.24,-42.371662880061955,1.149416931739644,0.004324154910592732,721,90,B-,Arcelor Mittal NY Registry Shares NEW,Industrials,Steel/Iron Ore,50904094775.0,66.88,Luxembourg,,37,B+,-27.884615384615387,65.38461538461537,999.0,0.3037020549924461,4.453304500608191,reported,86,176
NUE,247.55999755859375,7.22042817295014,-6.82636573774964,1542511.82,-29.725595230771074,2.658098206239612,-0.0012316548565910349,721,90,D,Nucor Corporation Common Stock,Industrials,Steel/Iron Ore,56379549582.0,247.56,United States,,37,B+,319.4805194805195,41.80327868852459,9.448665895132047,0.48126634528929,21.27713920817369,reported,87,177
NWPX,129.30999755859375,10.40917731038401,-13.758839900562435,186658.2,-11.383480607870434,-2.5986721083093633,0.002085809288812378,721,97,C,NWPX Infrastructure Inc. Common Stock,Industrials,Steel/Iron Ore,1246161504.0,129.31,United States,1995,37,B+,176.92307692307693,20.779220779220783,16.311703709078373,0.2935488222830897,19.06644275072127,reported,88,185
STLD,247.11000061035156,7.123253726420096,-12.409668047449552,1240514.36,-30.656344840699788,2.7185405857010236,-0.00345701457450298,721,89,E+,Steel Dynamics Inc.,Industrials,Steel/Iron Ore,35636420313.0,247.11,United States,1996,37,B+,93.05555555555554,33.8235294117647,18.214654570458322,0.29944772674286635,19.12624636803805,reported,90,179
BTSG,72.91000366210938,10.614348961207074,0.0,3946665.26,-37.37338139490451,4.395772458758218,0.0033125353413824407,625,98,C+,BrightSpring Health Services Inc. Common Stock,Health Care,Medical/Nursing Services,14384040382.0,72.91,United States,2024,39,B,105.26315789473684,50.000000000000014,99.51673957339646,0.1608207729462772,25.557992709847266,reported,98,196
CBL,57.56999969482422,8.471057712398629,0.0,299838.24,-31.292286134016788,2.840300402982776,0.007269461246702736,721,95,B+,CBL & Associates Properties Inc. Common Stock,Real Estate,Real Estate Investment Trusts,1781489718.0,57.57,United States,2021,39,B,448.1481481481481,,999.0,,2.962586761469443,diluted,98,193
CXW,31.350000381469727,7.983782935646269,-2.5792415035265193,1259956.28,-64.06907071410446,-0.9478648994513894,0.008358304778699815,721,93,B+,CoreCivic Inc. Common Stock,Real Estate,Real Estate Investment Trusts,3100153221.0,31.35,United States,,39,B,73.91304347826087,68.75000000000001,24.77020427363692,0.21504077609887615,25.8074154723337,reported,95,188
FTNT,152.3699951171875,8.892792254726254,-8.667509773518155,5992332.1,-53.78084936247107,0.5477114080950862,0.006080413527128571,721,96,B,Fortinet Inc. Common Stock,Technology,Computer peripheral equipment,111633635337.0,152.37,United States,2009,39,B,41.37931034482759,9.459459459459469,33.493964025978684,0.09706443405317312,20.12729752549198,reported,91,187
GRC,81.7300033569336,7.624892601975693,-10.911265249537506,176743.22,76.44863548372605,2.650088592771538,-0.0011389292529259691,721,92,D,Gorman-Rupp Company (The) Common Stock,Industrials,Fluid Controls,2158509160.0,81.73,United States,1971,39,B,47.82608695652174,30.95238095238097,15.566670724808262,0.1460260427462116,7.712811379217801,reported,91,183
INNV,11.5600004196167,10.081021035468998,-4.541694902173566,371345.46,-55.655038841729755,3.306531305702909,0.013382423716566635,721,97,A-,InnovAge Holding Corp. Common Stock,Health Care,Medical/Nursing Services,1569112703.0,11.56,United States,2021,39,B,750.0000000000001,999.0,12.344416690101156,999.0,15.494952828891273,reported,85,182
